Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
139,0.277978,-31.0950985,-24.1722164,-41.9434814,3.03812265,-40.834816,4.16518497
140,0.279964,-31.0605583,-24.1785221,-41.8779144,3.05997992,-40.804184,4.19581461
141,0.281964,-31.0250835,-24.184639,-41.834198,3.10369253,-40.7734337,4.22656441
142,0.283961,-30.9886398,-24.1909046,-41.7904892,3.1474061,-40.7428589,4.25714254
143,0.285961,-30.9521332,-24.1978741,-41.768631,3.16926241,-40.7120628,4.28793764
144,0.287962,-30.9156189,-24.2068348,-41.768631,3.21297598,-40.6813431,4.31865835
145,0.289973,-30.8789368,-24.2178173,-41.7467728,3.23483229,-40.6505966,4.34940195
146,0.291958,-30.8428841,-24.2296448,-41.7249146,3.27854586,-40.6198311,4.38016796
147,0.293963,-30.8067932,-24.2413483,-41.6812057,3.30040216,-40.5890427,4.41095638
148,0.295964,-30.7699471,-24.2520218,-41.6156311,3.36597204,-40.5583305,4.44166946
149,0.297964,-30.7329559,-24.2616158,-41.5719223,3.38782835,-40.527401,4.47260094
150,0.299980,-30.6964149,-24.2709064,-41.5500641,3.43154192,-40.4966431,4.50335884
151,0.301980,-30.6594124,-24.2813759,-41.5282059,3.45339823,-40.4656639,4.53433514
152,0.303965,-30.6218185,-24.2936268,-41.5282059,3.47525454,-40.4347649,4.56523561
153,0.305963,-30.584446,-24.3065758,-41.5063477,3.4971118,-40.4038429,4.5961585
154,0.307961,-30.5474339,-24.3191032,-41.4626389,3.51896811,-40.3728981,4.62710333
155,0.309975,-30.510643,-24.3306103,-41.4189224,3.56268167,-40.3419304,4.65807104
156,0.311958,-30.4740372,-24.3409958,-41.3533554,3.60639429,-40.3109398,4.68906021
157,0.313961,-30.4377613,-24.3515377,-41.309639,3.62825155,-40.2798309,4.7201705
158,0.315961,-30.4010868,-24.3637066,-41.309639,3.65010786,-40.2488937,4.75110531
159,0.317963,-30.3634758,-24.377491,-41.2877808,3.67196417,-40.2177391,4.78225994
160,0.319980,-30.3253365,-24.3921356,-41.244072,3.69382143,-40.1867599,4.81323862
161,0.321959,-30.287859,-24.4059353,-41.2222137,3.69382143,-40.1556625,4.84433842
162,0.323962,-30.2506695,-24.4184551,-41.1566467,3.71567774,-40.1246376,4.87536097
163,0.325962,-30.2127037,-24.4302063,-41.1129303,3.75939131,-40.0933952,4.90660334
164,0.327963,-30.1741924,-24.4416199,-41.0910721,3.80310392,-40.062233,4.93776798
165,0.329961,-30.1353588,-24.4533596,-41.0692215,3.84681749,-40.0309448,4.96905422
166,0.331974,-30.0957851,-24.465889,-41.0692215,3.8686738,-39.999836,5.00016356
167,0.333962,-30.0565147,-24.4790878,-41.0255051,3.91244173,-39.9685059,5.03149271
168,0.335964,-30.0180054,-24.4921131,-41.0036469,3.93429804,-39.937355,5.06264544
169,0.337962,-29.9798222,-24.50457,-40.959938,3.93429804,-39.9060822,5.0939188
170,0.339962,-29.9418182,-24.5165005,-40.8943634,3.97801161,-39.8747864,5.12521362
171,0.341979,-29.9036617,-24.5284939,-40.8506546,3.99986792,-39.8433685,5.15662956
172,0.343960,-29.8649368,-24.5412655,-40.8506546,4.04358149,-39.8119316,5.18806696
173,0.345964,-29.825592,-24.5551186,-40.8287964,4.0872941,-39.780674,5.21932697
174,0.347963,-29.7856998,-24.5696754,-40.8069382,4.10915136,-39.7491913,5.25080681
175,0.349963,-29.7462254,-24.5836678,-40.78508,4.13100767,-39.7177925,5.28220892
176,0.351974,-29.7081089,-24.5962467,-40.7195129,4.15286398,-39.6862679,5.31373215
177,0.353972,-29.6711216,-24.607338,-40.6757965,4.17472124,-39.6549225,5.34507656
178,0.355960,-29.6344318,-24.6172352,-40.6320877,4.19657755,-39.6233597,5.37664223
179,0.357962,-29.597723,-24.6261787,-40.6102295,4.21843386,-39.5919724,5.40802908
180,0.359964,-29.5612259,-24.6350193,-40.6102295,4.26214743,-39.5603638,5.43963671
181,0.361976,-29.5242996,-24.6453457,-40.6102295,4.305861,-39.5289345,5.47106552
182,0.363963,-29.4870987,-24.6570683,-40.5883713,4.34957361,-39.4972839,5.50271559
183,0.365965,-29.450304,-24.6688251,-40.5883713,4.37143087,-39.4657135,5.53428602
184,0.367962,-29.4145794,-24.6792641,-40.5883713,4.39328718,-39.434021,5.56597805
185,0.369963,-29.3804455,-24.6874561,-40.5665131,4.41514349,-39.4025078,5.59749031
186,0.371979,-29.3474102,-24.6938076,-40.5446625,4.4369998,-39.3708763,5.62912369
187,0.373962,-29.3137512,-24.6999111,-40.500946,4.48071337,-39.3393211,5.66067696
188,0.375962,-29.2798405,-24.7064953,-40.4572372,4.52442694,-39.3075485,5.69245243
189,0.377963,-29.2469997,-24.713562,-40.3916626,4.56813955,-39.2759514,5.72404718
190,0.379964,-29.2148819,-24.7211189,-40.3698044,4.58999681,-39.244236,5.75576305
191,0.381959,-29.1828651,-24.729187,-40.3479538,4.61185312,-39.2126007,5.78739882
192,0.383975,-29.1520767,-24.7366219,-40.3042374,4.63370943,-39.1809464,5.81905508
193,0.385962,-29.122366,-24.7429314,-40.2605209,4.65556669,-39.1491661,5.85083246
194,0.387963,-29.0931301,-24.747982,-40.1730957,4.677423,-39.1174698,5.88252926
195,0.389965,-29.0634594,-24.7515697,-40.1512375,4.72113657,-39.0855522,5.91444826
196,0.391962,-29.0331974,-24.7541981,-40.1293869,4.76484919,-39.0537148,5.94628716
197,0.393979,-29.0027523,-24.7564983,-40.1075287,4.80856276,-39.0218544,5.97814608
198,0.395963,-28.9723244,-24.7597332,-40.1075287,4.83041906,-38.990078,6.00992346
199,0.397959,-28.9418468,-24.7644291,-40.0856705,4.85227537,-38.9581757,6.04182291
200,0.399962,-28.9114437,-24.770092,-40.0419617,4.89598894,-38.9263573,6.07364082
201,0.401963,-28.8815575,-24.7757149,-39.9763336,4.93970251,-38.8943176,6.1056819
202,0.403974,-28.8524342,-24.7803783,-39.9326172,4.98341513,-38.8623581,6.13764143
